SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_6,adm2_3,adm2_7,adm2_8,adm2_1,adm2_4,adm2_5
25951,4008,1,36,9,6,NA,NA,1264,0,8,0,0,0,0,1,0,0,0
25957,5786,1,47,14,2,NA,NA,2159,0,4,0,0,0,0,0,0,1,0
26029,2063,1,28,22,7,NA,NA,1788,1,8,0,0,0,0,1,0,0,0
26041,690,1,33,17,2,NA,NA,1396,0,7,0,0,0,1,0,0,0,0
26089,5299,1,45,9,5,NA,NA,1839,0,1,0,0,0,0,0,1,0,0
26098,6435,1,35,22,7,NA,NA,1726,1,8,0,0,0,0,1,0,0,0
26115,5286,1,19,19,4,NA,NA,1093,0,8,0,0,0,0,1,0,0,0
26198,1842,1,58,23,1,NA,NA,1921,1,7,0,0,0,1,0,0,0,0
26206,9735,1,62,13,7,NA,NA,1731,1,4,0,0,0,0,0,0,1,0
26260,11121,1,50,14,2,NA,NA,1940,0,4,0,0,0,0,0,0,1,0
26293,1008,1,52,10,4,NA,NA,1198,0,4,0,0,0,0,0,0,1,0
26325,69,1,20,17,2,NA,NA,1449,0,7,0,0,0,1,0,0,0,0
26384,3697,1,32,23,1,NA,NA,1754,1,8,0,0,0,0,1,0,0,0
26506,7276,1,30,15,4,NA,NA,1625,0,2,1,0,0,0,0,0,0,0
26514,570,1,32,5,2,NA,NA,1639,0,8,0,0,0,0,1,0,0,0
26545,6498,1,45,6,3,NA,NA,1318,0,8,0,0,0,0,1,0,0,0
26617,5272,1,35,23,1,NA,NA,1497,1,7,0,0,0,1,0,0,0,0
26665,10101,1,45,23,1,NA,NA,1315,1,8,0,0,0,0,1,0,0,0
26696,4115,1,32,31,7,NA,NA,1612,1,1,0,0,0,0,0,1,0,0
26808,7016,1,52,26,7,NA,NA,1431,1,1,0,0,0,0,0,1,0,0
26864,806,1,18,2,4,NA,NA,1331,0,1,0,0,0,0,0,1,0,0
26927,6077,1,80,10,7,NA,NA,1390,1,6,0,1,0,0,0,0,0,0
26941,3020,1,40,7,5,NA,NA,1260,0,6,0,1,0,0,0,0,0,0
26947,11471,1,80,28,4,NA,NA,1327,0,7,0,0,0,1,0,0,0,0
26962,4620,1,52,19,4,NA,NA,1765,0,7,0,0,0,1,0,0,0,0
27043,11003,1,25,14,4,NA,NA,1053,0,8,0,0,0,0,1,0,0,0
27067,7003,1,40,6,6,NA,NA,1134,0,6,0,1,0,0,0,0,0,0
27132,11526,1,33,29,4,NA,NA,1936,0,7,0,0,0,1,0,0,0,0
27214,3316,1,32,13,5,NA,NA,2233,0,7,0,0,0,1,0,0,0,0
27226,6077,1,37,10,7,NA,NA,2380,1,6,0,1,0,0,0,0,0,0
27252,9650,1,40,11,7,NA,NA,1428,1,2,1,0,0,0,0,0,0,0
27271,4646,1,74,29,3,NA,NA,1821,0,3,0,0,1,0,0,0,0,0
27364,7047,1,56,14,3,NA,NA,1420,0,2,1,0,0,0,0,0,0,0
27371,3645,1,20,17,6,NA,NA,1375,0,2,1,0,0,0,0,0,0,0
27395,5248,1,35,23,6,NA,NA,2918,0,7,0,0,0,1,0,0,0,0
27429,7032,1,20,9,6,NA,NA,375,0,6,0,1,0,0,0,0,0,0
27490,4887,1,56,1,3,NA,NA,451,0,1,0,0,0,0,0,1,0,0
27500,10041,1,38,13,7,NA,NA,2337,1,4,0,0,0,0,0,0,1,0
27559,11854,1,55,6,7,NA,NA,1451,1,4,0,0,0,0,0,0,1,0
27568,1312,1,25,2,4,NA,NA,1421,0,1,0,0,0,0,0,1,0,0
27735,847,1,52,23,7,NA,NA,1517,1,5,0,0,0,0,0,0,0,1
27762,1031,1,55,25,7,NA,NA,1624,1,7,0,0,0,1,0,0,0,0
27763,6182,1,28,14,4,NA,NA,1327,0,8,0,0,0,0,1,0,0,0
27799,650,1,48,24,2,NA,NA,1125,0,8,0,0,0,0,1,0,0,0
27800,7186,1,50,8,5,NA,NA,1419,0,6,0,1,0,0,0,0,0,0
28020,4936,1,66,10,6,NA,NA,1789,0,2,1,0,0,0,0,0,0,0
28022,7135,1,37,17,1,NA,NA,1227,1,5,0,0,0,0,0,0,0,1
28032,10467,1,22,16,4,NA,NA,1657,0,3,0,0,1,0,0,0,0,0
28045,10311,1,50,6,3,NA,NA,1242,0,8,0,0,0,0,1,0,0,0
28181,11083,1,45,28,4,NA,NA,1997,0,6,0,1,0,0,0,0,0,0
28207,460,1,33,10,7,NA,NA,1934,1,6,0,1,0,0,0,0,0,0
28218,1152,1,20,17,4,NA,NA,1244,0,3,0,0,1,0,0,0,0,0
28270,10763,1,18,9,3,NA,NA,975,0,4,0,0,0,0,0,0,1,0
28281,10152,1,33,23,7,NA,NA,1971,1,5,0,0,0,0,0,0,0,1
28323,5151,1,27,6,3,NA,NA,1674,0,6,0,1,0,0,0,0,0,0
28329,5836,1,38,24,2,NA,NA,1432,0,8,0,0,0,0,1,0,0,0
28356,7790,1,48,24,5,NA,NA,1674,0,3,0,0,1,0,0,0,0,0
28371,11471,1,47,28,4,NA,NA,1184,0,7,0,0,0,1,0,0,0,0
28381,1832,1,18,24,7,NA,NA,1427,1,7,0,0,0,1,0,0,0,0
28407,11560,1,35,26,2,NA,NA,1457,0,1,0,0,0,0,0,1,0,0
28409,5919,1,47,7,3,NA,NA,1686,0,1,0,0,0,0,0,1,0,0
28528,4848,1,61,30,6,NA,NA,1462,0,6,0,1,0,0,0,0,0,0
28591,6541,1,47,19,4,NA,NA,1975,0,7,0,0,0,1,0,0,0,0
28604,10224,1,60,14,4,NA,NA,943,0,8,0,0,0,0,1,0,0,0
28717,4030,1,39,24,6,NA,NA,1852,0,3,0,0,1,0,0,0,0,0
28720,7790,1,19,24,5,NA,NA,1674,0,3,0,0,1,0,0,0,0,0
28866,6030,1,48,3,5,NA,NA,1140,0,7,0,0,0,1,0,0,0,0
28887,4622,1,36,26,7,NA,NA,1504,1,1,0,0,0,0,0,1,0,0
28888,3046,1,31,23,1,NA,NA,1693,1,8,0,0,0,0,1,0,0,0
28894,7386,1,42,23,1,NA,NA,1104,1,7,0,0,0,1,0,0,0,0
28966,9845,1,40,21,4,NA,NA,1766,0,1,0,0,0,0,0,1,0,0
29076,1193,1,72,13,4,NA,NA,1704,0,5,0,0,0,0,0,0,0,1
29077,4744,1,22,1,5,NA,NA,1783,0,3,0,0,1,0,0,0,0,0
29082,6778,1,35,24,5,NA,NA,1287,0,3,0,0,1,0,0,0,0,0
29121,6237,1,19,14,4,NA,NA,1469,0,8,0,0,0,0,1,0,0,0
29181,9809,1,34,14,3,NA,NA,1732,0,1,0,0,0,0,0,1,0,0
29199,11334,1,38,6,4,NA,NA,1437,0,1,0,0,0,0,0,1,0,0
29265,6719,1,21,14,5,NA,NA,2033,0,1,0,0,0,0,0,1,0,0
29278,7773,1,28,14,5,NA,NA,1911,0,1,0,0,0,0,0,1,0,0
29293,7007,1,55,25,7,NA,NA,1469,1,3,0,0,1,0,0,0,0,0
29348,2899,1,20,11,5,NA,NA,1382,0,4,0,0,0,0,0,0,1,0
