SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_1,adm2_6,adm2_2,adm2_7,adm2_4,adm2_3,adm2_5,adm2_8
5590,7474,2,28,29,6,1,NA,2126,0,1,1,0,0,0,0,0,0,0
5617,4205,2,20,8,2,1,NA,886,0,1,1,0,0,0,0,0,0,0
5648,10365,2,25,14,5,1,NA,1582,0,1,1,0,0,0,0,0,0,0
5656,8083,2,40,18,7,1,NA,2447,1,3,0,0,0,0,0,1,0,0
5697,6383,2,70,12,3,0,NA,2200,0,7,0,0,0,1,0,0,0,0
5771,4221,2,45,23,1,1,NA,1829,1,2,0,0,1,0,0,0,0,0
5784,8961,2,60,8,7,0,NA,1572,1,4,0,0,0,0,1,0,0,0
5813,10958,2,39,18,3,1,NA,894,0,8,0,0,0,0,0,0,0,1
5846,2713,2,18,16,6,1,NA,1627,0,7,0,0,0,1,0,0,0,0
5919,1561,2,55,9,7,0,NA,1061,1,8,0,0,0,0,0,0,0,1
5929,8788,2,48,27,7,1,NA,1369,1,5,0,0,0,0,0,0,1,0
5956,7084,2,26,24,2,1,NA,2286,0,8,0,0,0,0,0,0,0,1
5957,11360,2,38,27,7,1,NA,1298,1,5,0,0,0,0,0,0,1,0
5966,590,2,25,11,5,1,NA,2247,0,5,0,0,0,0,0,0,1,0
6023,2689,2,22,6,5,1,NA,2369,0,4,0,0,0,0,1,0,0,0
6026,4721,2,50,2,5,0,NA,2348,0,5,0,0,0,0,0,0,1,0
6073,7839,2,65,12,3,0,NA,1026,0,7,0,0,0,1,0,0,0,0
6080,2693,2,26,29,2,1,NA,950,0,5,0,0,0,0,0,0,1,0
6103,2948,2,48,16,4,1,NA,862,0,1,1,0,0,0,0,0,0,0
6128,9535,2,21,25,5,1,NA,950,0,6,0,1,0,0,0,0,0,0
6189,3550,2,48,12,7,1,NA,1335,1,1,1,0,0,0,0,0,0,0
6196,11237,2,36,30,7,1,NA,2153,1,4,0,0,0,0,1,0,0,0
6238,11530,2,35,20,4,1,NA,1581,0,1,1,0,0,0,0,0,0,0
6324,4799,2,32,29,1,1,NA,1552,1,3,0,0,0,0,0,1,0,0
6400,6252,2,60,3,2,0,NA,1882,0,4,0,0,0,0,1,0,0,0
6451,6904,2,40,3,2,1,NA,2167,0,4,0,0,0,0,1,0,0,0
6464,10232,2,27,29,7,1,NA,2173,1,2,0,0,1,0,0,0,0,0
6475,1487,2,22,5,4,1,NA,1388,0,4,0,0,0,0,1,0,0,0
