SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_9,adm2_7,adm2_3,adm2_1,adm2_8,adm2_2,adm2_5,adm2_4,adm2_6,adm2_10
925,689,1,55,3,20,133,11.32,7.68,0,9,1,0,0,0,0,0,0,0,0,0
939,7729,2,22,29,36,173,11.39,8.84,0,5,0,0,0,0,0,0,1,0,0,0
941,9991,2,30,22,1222,256,22.93,9.83,0,4,0,0,0,0,0,0,0,1,0,0
947,11209,1,26,27,134,54,3.6700000000000004,3.5599999999999996,0,3,0,0,1,0,0,0,0,0,0,0
961,2519,2,65,25,1518,196,20.13,8.25,0,1,0,0,0,1,0,0,0,0,0,0
967,11074,1,22,23,292,138,8.999999999999998,6.15,0,5,0,0,0,0,0,0,1,0,0,0
976,5215,2,32,18,11,142,5.95,4.55,0,3,0,0,1,0,0,0,0,0,0,0
981,3501,2,62,3,7,70,6.18,4.1499999999999995,0,9,1,0,0,0,0,0,0,0,0,0
982,4820,2,40,9,658,125,10.069999999999999,7.489999999999999,0,10,0,0,0,0,0,0,0,0,0,1
1000,7199,1,26,30,973,243,26.610000000000003,13.030000000000001,0,1,0,0,0,1,0,0,0,0,0,0
1011,177,2,50,23,15,85,6.0600000000000005,4.54,0,6,0,0,0,0,0,0,0,0,1,0
1020,8126,2,21,30,23,263,16.07,10.74,0,7,0,1,0,0,0,0,0,0,0,0
1024,4527,2,28,19,18,140,9.690000000000001,4.859999999999999,0,8,0,0,0,0,1,0,0,0,0,0
1030,6853,2,45,5,758,169,15.859999999999998,6.370000000000001,0,5,0,0,0,0,0,0,1,0,0,0
1039,9434,1,35,14,29,324,17.79,12.589999999999996,0,7,0,1,0,0,0,0,0,0,0,0
1050,541,2,45,5,186,159,19.790000000000003,8.13,0,5,0,0,0,0,0,0,1,0,0,0
1062,8432,2,30,3,13,143,15.440000000000001,9.6,0,9,1,0,0,0,0,0,0,0,0,0
1082,10733,2,18,27,30,163,13.180000000000001,6.510000000000001,0,5,0,0,0,0,0,0,1,0,0,0
1098,4275,2,65,5,785,202,16.439999999999998,7.46,0,5,0,0,0,0,0,0,1,0,0,0
1099,9547,2,21,18,171,190,8.949999999999998,7.289999999999999,0,3,0,0,1,0,0,0,0,0,0,0
1105,11445,2,27,8,27,162,10.579999999999998,7.54,0,7,0,1,0,0,0,0,0,0,0,0
1121,3789,2,35,21,1886,162,16.659999999999997,12.759999999999998,0,4,0,0,0,0,0,0,0,1,0,0
1137,3131,2,60,15,11,32,6.6899999999999995,4.05,0,10,0,0,0,0,0,0,0,0,0,1
1143,481,2,35,20,31,328,15.95,10.299999999999999,0,2,0,0,0,0,0,1,0,0,0,0
1185,50,1,50,23,11,208,9.779999999999998,5.26,0,6,0,0,0,0,0,0,0,0,1,0
1197,1603,1,65,6,22,187,20,9.46,0,1,0,0,0,1,0,0,0,0,0,0
1200,10794,2,23,2,128,169,9.26,5.87,0,2,0,0,0,0,0,1,0,0,0,0
1249,2882,1,36,6,32,229,12.379999999999999,8.77,0,9,1,0,0,0,0,0,0,0,0,0
1258,825,2,36,19,25,175,12.34,7.81,0,1,0,0,0,1,0,0,0,0,0,0
1275,10131,2,26,14,13,94,11.56,8.86,0,8,0,0,0,0,1,0,0,0,0,0
1278,3191,1,42,9,6,79,14.21,8.33,0,10,0,0,0,0,0,0,0,0,0,1
1303,4465,1,20,28,10,82,8.52,5.47,0,7,0,1,0,0,0,0,0,0,0,0
1329,968,2,57,13,10,44,7.199999999999999,5.069999999999999,0,10,0,0,0,0,0,0,0,0,0,1
1331,3171,2,30,14,411,174,14.939999999999998,10.51,0,7,0,1,0,0,0,0,0,0,0,0
1345,9494,1,51,27,10,95,13.29,8.850000000000001,0,3,0,0,1,0,0,0,0,0,0,0
1346,4819,1,20,27,44,112,8.040000000000001,4.95,0,5,0,0,0,0,0,0,1,0,0,0
1351,6250,2,32,28,19,102,18.270000000000003,8.899999999999999,0,1,0,0,0,1,0,0,0,0,0,0
1376,9012,2,36,23,58,151,14.61,7.890000000000001,0,10,0,0,0,0,0,0,0,0,0,1
1395,4491,1,42,19,465,160,22.48,9.030000000000001,0,1,0,0,0,1,0,0,0,0,0,0
1396,788,2,48,9,126,108,26.96,9.879999999999999,0,10,0,0,0,0,0,0,0,0,0,1
1408,3782,2,36,4,23,195,18.139999999999997,9.27,0,1,0,0,0,1,0,0,0,0,0,0
1445,6075,1,28,14,31,83,8.549999999999999,4.93,0,7,0,1,0,0,0,0,0,0,0,0
1452,5528,1,70,3,66,136,14.780000000000001,10.13,0,9,1,0,0,0,0,0,0,0,0,0
1460,7030,2,45,4,50,283,37.959999999999994,17.88,0,1,0,0,0,1,0,0,0,0,0,0
1465,3854,1,36,5,27,241,15.010000000000002,9.87,0,9,1,0,0,0,0,0,0,0,0,0
1480,4236,1,24,26,302,381,37.959999999999994,15.839999999999998,0,1,0,0,0,1,0,0,0,0,0,0
1501,3137,1,63,25,7,125,14.42,10.24,0,1,0,0,0,1,0,0,0,0,0,0
1527,1318,2,20,8,106,182,14.409999999999998,10.979999999999999,0,7,0,1,0,0,0,0,0,0,0,0
1538,5678,2,35,26,13,118,7.0600000000000005,5.05,0,2,0,0,0,0,0,1,0,0,0,0
1539,6189,1,35,18,56,51,2.64,2.74,0,3,0,0,1,0,0,0,0,0,0,0
1540,8618,2,55,9,43,160,9,7.029999999999999,0,10,0,0,0,0,0,0,0,0,0,1
1553,8274,2,30,28,41,169,18.12,12.299999999999997,0,4,0,0,0,0,0,0,0,1,0,0
1583,5646,2,30,2,25,92,15.959999999999997,15.719999999999999,0,6,0,0,0,0,0,0,0,0,1,0
1601,2747,1,26,4,9,96,8.219999999999999,4.140000000000001,0,5,0,0,0,0,0,0,1,0,0,0
1607,4381,2,50,15,18,41,6.249999999999999,3.51,0,10,0,0,0,0,0,0,0,0,0,1
1608,2684,1,65,5,19,84,9.21,5.39,0,5,0,0,0,0,0,0,1,0,0,0
1613,6893,1,37,8,29,104,10.619999999999997,5.999999999999999,0,7,0,1,0,0,0,0,0,0,0,0
1651,171,2,32,30,45,158,16.700000000000003,11.91,0,1,0,0,0,1,0,0,0,0,0,0
1671,3078,2,32,6,32,239,19.15000000000001,9.870000000000001,0,6,0,0,0,0,0,0,0,0,1,0
1676,11826,1,35,22,39,253,25.59,16.060000000000002,0,4,0,0,0,0,0,0,0,1,0,0
1681,11640,2,45,16,57,79,7.99,5.089999999999999,0,3,0,0,1,0,0,0,0,0,0,0
1687,7094,1,34,4,336,134,19.73,10.549999999999999,0,1,0,0,0,1,0,0,0,0,0,0
1698,6446,1,18,28,25,188,17.96,10.599999999999998,0,7,0,1,0,0,0,0,0,0,0,0
1704,589,1,22,15,216,205,14.999999999999998,7.76,0,9,1,0,0,0,0,0,0,0,0,0
1759,8790,2,55,15,57,215,16.25,7.06,0,8,0,0,0,0,1,0,0,0,0,0
1760,8158,2,20,2,579,223,31.680000000000003,10.9,0,8,0,0,0,0,1,0,0,0,0,0
1773,3381,1,20,6,26,342,27.96,17.04,0,6,0,0,0,0,0,0,0,0,1,0
1824,7760,1,49,21,61,119,12.489999999999998,8.36,0,10,0,0,0,0,0,0,0,0,0,1
1827,4709,2,50,11,98,92,6.24,5.9799999999999995,0,10,0,0,0,0,0,0,0,0,0,1
1831,610,1,34,7,25,123,9.309999999999999,4.789999999999999,1,6,0,0,0,0,0,0,0,0,1,0
1836,388,1,33,11,801,132,9.219999999999997,7.039999999999999,0,10,0,0,0,0,0,0,0,0,0,1
1842,9397,2,40,19,13,87,6.369999999999999,4.050000000000001,0,10,0,0,0,0,0,0,0,0,0,1
1851,8336,1,39,4,31,247,20.52,13.260000000000002,0,5,0,0,0,0,0,0,1,0,0,0
1866,11107,2,55,5,29,104,4.25,1.43,0,1,0,0,0,1,0,0,0,0,0,0
1908,11507,2,22,12,1524,62,5.95,5.899999999999999,0,10,0,0,0,0,0,0,0,0,0,1
1912,4381,1,55,15,21,70,10.85,6.99,0,10,0,0,0,0,0,0,0,0,0,1
1924,2179,2,42,8,22,203,18.45,11.599999999999998,0,1,0,0,0,1,0,0,0,0,0,0
1945,11601,1,97,7,5,104,9.26,5.139999999999999,1,9,1,0,0,0,0,0,0,0,0,0
1946,7804,2,70,17,99,47,5.359999999999999,2.9,0,10,0,0,0,0,0,0,0,0,0,1
1949,9746,1,19,13,59,118,8.55,5.9099999999999975,0,3,0,0,1,0,0,0,0,0,0,0
1983,9040,2,71,28,20,173,5.01,4.069999999999999,0,3,0,0,1,0,0,0,0,0,0,0
1996,6245,2,70,3,1021,267,17.89,9.03,0,5,0,0,0,0,0,0,1,0,0,0
2004,5141,2,18,28,3691,251,31.219999999999995,15.399999999999997,0,1,0,0,0,1,0,0,0,0,0,0
2028,11804,2,60,1,37,133,16.71,7.3,1,1,0,0,0,1,0,0,0,0,0,0
2032,9494,2,45,27,8,65,8.02,5.95,0,3,0,0,1,0,0,0,0,0,0,0
2042,1772,2,19,14,7,41,4.1,2.48,0,8,0,0,0,0,1,0,0,0,0,0
2064,481,1,40,20,34,343,16.809999999999995,10.75,0,2,0,0,0,0,0,1,0,0,0,0
2071,5202,1,24,1,22,49,6.339999999999998,4.709999999999998,1,2,0,0,0,0,0,1,0,0,0,0
2078,8,1,52,29,105,178,7.489999999999999,6.1,0,3,0,0,1,0,0,0,0,0,0,0
2099,2942,2,27,24,612,214,15.16,8.12,0,6,0,0,0,0,0,0,0,0,1,0
2102,9929,1,22,30,1045,240,25.679999999999996,15.050000000000002,0,1,0,0,0,1,0,0,0,0,0,0
2105,10772,1,20,4,35,129,10.850000000000001,7.540000000000001,0,9,1,0,0,0,0,0,0,0,0,0
2111,1050,2,35,3,34,34,3.25,3.15,0,2,0,0,0,0,0,1,0,0,0,0
2120,8152,1,38,11,30,70,8.409999999999998,6.48,0,10,0,0,0,0,0,0,0,0,0,1
2127,1883,2,75,2,28,91,7.6000000000000005,3.8800000000000003,0,8,0,0,0,0,1,0,0,0,0,0
2143,1075,2,21,15,38,98,7.099999999999999,3.7099999999999995,0,8,0,0,0,0,1,0,0,0,0,0
2157,6566,1,42,19,4463,229,20.43,19.11,0,2,0,0,0,0,0,1,0,0,0,0
2183,8742,1,70,30,1049,120,13.200000000000001,4.01,0,1,0,0,0,1,0,0,0,0,0,0
2186,11655,1,30,13,10,48,8.629999999999999,5.01,0,10,0,0,0,0,0,0,0,0,0,1
2188,6128,2,60,28,13,184,18.609999999999996,10.6,0,1,0,0,0,1,0,0,0,0,0,0
2196,5781,2,85,14,18,78,7.069999999999999,5,0,7,0,1,0,0,0,0,0,0,0,0
2206,4113,2,35,8,221,369,27.07,14.489999999999997,0,6,0,0,0,0,0,0,0,0,1,0
2209,9795,1,35,28,49,65,6.13,3.5100000000000002,0,1,0,0,0,1,0,0,0,0,0,0
2228,3334,2,40,8,21,256,19.1,10.219999999999997,0,6,0,0,0,0,0,0,0,0,1,0
2245,9657,1,36,14,75,139,11.64,5.41,0,8,0,0,0,0,1,0,0,0,0,0
2248,3623,2,31,19,24,73,7.19,5.409999999999998,0,8,0,0,0,0,1,0,0,0,0,0
2253,2144,1,30,21,39,301,38.79,17.11,0,1,0,0,0,1,0,0,0,0,0,0
2271,6043,2,25,24,76,140,16.970000000000002,11.84,0,9,1,0,0,0,0,0,0,0,0,0
2279,2804,2,19,11,22,227,12.48,8.509999999999998,0,10,0,0,0,0,0,0,0,0,0,1
2307,8565,1,27,6,46,197,11.719999999999999,8.51,0,7,0,1,0,0,0,0,0,0,0,0
2326,1212,2,50,19,823,231,19.51,8.909999999999998,0,4,0,0,0,0,0,0,0,1,0,0
2328,3324,1,70,24,38,149,9.41,7.28,0,6,0,0,0,0,0,0,0,0,1,0
2329,1603,2,60,6,28,228,24.86,11.479999999999999,0,1,0,0,0,1,0,0,0,0,0,0
2333,1002,1,29,25,35,242,11.540000000000001,9.769999999999998,0,3,0,0,1,0,0,0,0,0,0,0
2334,366,2,28,17,58,210,27.069999999999997,14.58,0,9,1,0,0,0,0,0,0,0,0,0
2343,7030,1,55,4,37,197,23.840000000000003,11.75,0,1,0,0,0,1,0,0,0,0,0,0
2355,10225,2,25,8,11,148,13.8,8.969999999999997,0,9,1,0,0,0,0,0,0,0,0,0
2381,3501,1,32,3,24,161,13.200000000000001,8.95,0,9,1,0,0,0,0,0,0,0,0,0
2406,179,1,55,18,16,143,8.6,7.8100000000000005,0,3,0,0,1,0,0,0,0,0,0,0
2411,582,2,45,15,11,59,6.679999999999999,5.009999999999999,0,10,0,0,0,0,0,0,0,0,0,1
2416,643,1,52,8,22,248,22.25,11.08,0,6,0,0,0,0,0,0,0,0,1,0
2427,4876,1,90,2,29,294,18.660000000000004,11.200000000000001,0,8,0,0,0,0,1,0,0,0,0,0
2436,3354,1,26,29,23,230,26.920000000000005,13.699999999999998,0,1,0,0,0,1,0,0,0,0,0,0
2448,8808,2,26,2,19,195,14.81,8.34,0,5,0,0,0,0,0,0,1,0,0,0
2494,6566,1,18,19,3778,162,14.129999999999999,12.939999999999998,0,2,0,0,0,0,0,1,0,0,0,0
2515,7699,1,33,9,22,216,8.31,6.18,0,7,0,1,0,0,0,0,0,0,0,0
2525,5742,1,31,29,90,234,8.32,6.93,0,3,0,0,1,0,0,0,0,0,0,0
2528,3919,1,52,5,14,192,15.469999999999999,8.87,0,1,0,0,0,1,0,0,0,0,0,0
2529,1929,1,24,6,47,147,11.07,7.799999999999999,0,7,0,1,0,0,0,0,0,0,0,0
2561,4753,2,45,9,31,64,11.4,7.389999999999999,0,10,0,0,0,0,0,0,0,0,0,1
2571,1624,2,24,9,17,120,8.32,7.77,0,10,0,0,0,0,0,0,0,0,0,1
2581,1363,1,35,4,44,170,23,16.810000000000002,0,7,0,1,0,0,0,0,0,0,0,0
2599,1768,1,37,4,154,237,10.76,8.770000000000001,0,7,0,1,0,0,0,0,0,0,0,0
2601,1053,2,32,1,41,484,20.53,15.18,1,2,0,0,0,0,0,1,0,0,0,0
2602,7950,1,80,20,921,197,20.270000000000003,9.27,0,8,0,0,0,0,1,0,0,0,0,0
2606,4145,2,22,28,267,96,15.19,4.93,0,1,0,0,0,1,0,0,0,0,0,0
2655,3073,1,35,9,7,96,11.860000000000003,8.319999999999999,0,9,1,0,0,0,0,0,0,0,0,0
2657,3282,2,21,26,40,70,6.159999999999999,4.109999999999999,0,1,0,0,0,1,0,0,0,0,0,0
2689,13,1,40,23,14,141,11.249999999999998,9.449999999999996,0,10,0,0,0,0,0,0,0,0,0,1
2690,3391,2,45,20,42,89,5.21,4.39,0,3,0,0,1,0,0,0,0,0,0,0
2713,478,2,55,5,15,139,8.26,5.32,0,9,1,0,0,0,0,0,0,0,0,0
2718,3075,2,28,19,62,258,22.279999999999998,12.129999999999999,0,4,0,0,0,0,0,0,0,1,0,0
2734,10391,1,24,14,15,93,6.689999999999999,5.95,0,3,0,0,1,0,0,0,0,0,0,0
2754,6061,1,28,3,1555,263,30.19,16.64,0,5,0,0,0,0,0,0,1,0,0,0
2756,5935,1,55,14,24,155,14.67,10.919999999999998,0,7,0,1,0,0,0,0,0,0,0,0
2800,6330,1,22,20,25,298,23.810000000000006,15.879999999999999,0,4,0,0,0,0,0,0,0,1,0,0
2802,4236,1,48,26,268,407,39.199999999999996,16.6,0,1,0,0,0,1,0,0,0,0,0,0
2807,480,2,20,19,10,72,7.51,4.029999999999999,0,8,0,0,0,0,1,0,0,0,0,0
2813,6265,1,31,22,20,311,18.75,9.559999999999999,0,4,0,0,0,0,0,0,0,1,0,0
2844,1751,1,42,18,99,113,5.4799999999999995,5.090000000000001,0,3,0,0,1,0,0,0,0,0,0,0
2847,11105,2,37,28,3,104,12.879999999999999,8.76,0,7,0,1,0,0,0,0,0,0,0,0
2852,200,2,23,2,12,112,15.000000000000002,4.79,0,6,0,0,0,0,0,0,0,0,1,0
2856,8667,1,32,25,1525,161,44.2,5.539999999999999,0,5,0,0,0,0,0,0,1,0,0,0
2859,4705,2,33,20,122,170,16.79,11.019999999999998,0,4,0,0,0,0,0,0,0,1,0,0
2870,11547,1,21,8,104,247,18.919999999999998,12.7,0,7,0,1,0,0,0,0,0,0,0,0
2884,4292,2,50,5,881,229,16.869999999999997,9.2,0,5,0,0,0,0,0,0,1,0,0,0
2960,93,2,35,6,494,204,26.760000000000005,8.67,0,6,0,0,0,0,0,0,0,0,1,0
2979,3582,1,55,26,4,41,3.04,3.36,0,2,0,0,0,0,0,1,0,0,0,0
2980,5788,2,25,6,948,168,16.400000000000002,9.329999999999998,0,5,0,0,0,0,0,0,1,0,0,0
2989,11674,1,30,22,73,162,11.64,9.61,0,2,0,0,0,0,0,1,0,0,0,0
2998,9960,1,30,16,69,97,7.35,6.12,0,3,0,0,1,0,0,0,0,0,0,0
3002,1657,2,22,8,81,246,20.629999999999995,10.499999999999998,0,6,0,0,0,0,0,0,0,0,1,0
3010,10330,2,45,7,27,141,12.01,7.42,1,9,1,0,0,0,0,0,0,0,0,0
3025,5377,1,37,10,34,131,10.669999999999996,8.009999999999998,0,7,0,1,0,0,0,0,0,0,0,0
3044,8341,2,20,5,1643,211,18.490000000000002,7.38,0,5,0,0,0,0,0,0,1,0,0,0
3049,9477,1,23,9,15,102,9.48,6.11,0,9,1,0,0,0,0,0,0,0,0,0
3050,7331,1,21,25,60,96,4.9799999999999995,2.8899999999999992,0,3,0,0,1,0,0,0,0,0,0,0
3059,8483,2,27,27,11,146,19.06,10.51,0,1,0,0,0,1,0,0,0,0,0,0
3065,11242,2,65,24,13,55,5.029999999999999,4.3,0,7,0,1,0,0,0,0,0,0,0,0
3069,2701,2,28,25,19,121,5.929999999999999,5.989999999999999,0,5,0,0,0,0,0,0,1,0,0,0
3071,3190,1,30,20,6,86,5,6.4,0,3,0,0,1,0,0,0,0,0,0,0
3088,11376,2,20,4,638,114,13.139999999999999,5.800000000000001,0,1,0,0,0,1,0,0,0,0,0,0
3097,8418,2,25,1,1844,212,22.9,6.63,1,1,0,0,0,1,0,0,0,0,0,0
3103,11826,2,55,22,36,126,10.919999999999998,6.75,0,4,0,0,0,0,0,0,0,1,0,0
3108,4346,2,35,19,7,62,6.159999999999999,3.689999999999999,0,8,0,0,0,0,1,0,0,0,0,0
3142,2473,2,80,6,66,52,4.6899999999999995,3.099999999999999,0,5,0,0,0,0,0,0,1,0,0,0
3167,5870,1,24,4,9,156,14.210000000000003,8.019999999999998,0,5,0,0,0,0,0,0,1,0,0,0
3173,5059,2,45,29,607,157,21.039999999999996,9.899999999999999,0,1,0,0,0,1,0,0,0,0,0,0
3174,7884,2,25,20,17,71,6.109999999999999,4.31,0,8,0,0,0,0,1,0,0,0,0,0
3177,6870,1,24,9,22,102,23.810000000000002,6.16,0,10,0,0,0,0,0,0,0,0,0,1
3191,2863,1,18,13,13,31,10.76,2.7899999999999996,0,10,0,0,0,0,0,0,0,0,0,1
3194,6153,2,38,18,53,226,19.960000000000004,13.03,0,1,0,0,0,1,0,0,0,0,0,0
3204,152,2,21,29,11,60,19.06,5.819999999999999,0,1,0,0,0,1,0,0,0,0,0,0
3220,2235,2,52,25,564,109,7.8100000000000005,6.349999999999999,0,3,0,0,1,0,0,0,0,0,0,0
3232,7199,2,19,30,729,176,19.009999999999998,9.259999999999998,0,1,0,0,0,1,0,0,0,0,0,0
3233,87,2,49,17,970,196,17.940000000000005,9.349999999999998,0,9,1,0,0,0,0,0,0,0,0,0
3244,8661,1,70,21,27,259,21.370000000000005,11.2,0,9,1,0,0,0,0,0,0,0,0,0
3262,9784,2,52,2,37,84,4.18,4.67,0,2,0,0,0,0,0,1,0,0,0,0
3267,9698,1,18,19,159,113,4.290000000000001,3.9,0,3,0,0,1,0,0,0,0,0,0,0
