SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
56,626,1,53,14,3,NA,NA,1114,0,3,1,0,0,0,0,0,0,0,0,0,0
66,2639,1,39,18,7,NA,NA,1286,1,8,0,1,0,0,0,0,0,0,0,0,0
154,6637,1,70,15,3,NA,NA,1622,0,11,0,0,1,0,0,0,0,0,0,0,0
252,6171,1,50,4,5,NA,NA,2110,0,6,0,0,0,1,0,0,0,0,0,0,0
291,882,1,35,18,2,NA,NA,912,0,8,0,1,0,0,0,0,0,0,0,0,0
296,6722,1,30,22,3,NA,NA,1034,0,8,0,1,0,0,0,0,0,0,0,0,0
321,2072,1,51,20,2,NA,NA,1258,0,9,0,0,0,0,1,0,0,0,0,0,0
351,5294,1,45,19,7,NA,NA,2979,1,2,0,0,0,0,0,1,0,0,0,0,0
394,2180,1,32,16,7,NA,NA,1725,1,4,0,0,0,0,0,0,1,0,0,0,0
423,8382,1,33,19,6,NA,NA,1400,0,11,0,0,1,0,0,0,0,0,0,0,0
441,9026,1,63,14,3,NA,NA,2061,0,4,0,0,0,0,0,0,1,0,0,0,0
498,7219,1,69,21,5,NA,NA,608,0,1,0,0,0,0,0,0,0,1,0,0,0
542,10278,1,55,11,5,NA,NA,1635,0,10,0,0,0,0,0,0,0,0,1,0,0
562,1649,1,23,20,4,NA,NA,2007,0,1,0,0,0,0,0,0,0,1,0,0,0
564,5604,1,51,14,3,NA,NA,1543,0,3,1,0,0,0,0,0,0,0,0,0,0
596,7965,1,32,16,5,NA,NA,2836,0,3,1,0,0,0,0,0,0,0,0,0,0
624,5098,1,80,15,5,NA,NA,1982,0,1,0,0,0,0,0,0,0,1,0,0,0
790,6971,1,25,19,6,NA,NA,1299,0,11,0,0,1,0,0,0,0,0,0,0,0
804,4393,1,20,5,6,NA,NA,2234,0,6,0,0,0,1,0,0,0,0,0,0,0
810,10418,1,84,25,6,NA,NA,1339,0,4,0,0,0,0,0,0,1,0,0,0,0
813,1708,1,78,14,3,NA,NA,1886,0,3,1,0,0,0,0,0,0,0,0,0,0
854,11341,1,47,11,5,NA,NA,356,0,10,0,0,0,0,0,0,0,0,1,0,0
856,5419,1,43,29,1,NA,NA,2096,1,8,0,1,0,0,0,0,0,0,0,0,0
923,8363,1,91,18,3,NA,NA,1386,0,7,0,0,0,0,0,0,0,0,0,1,0
959,11158,1,22,19,6,NA,NA,875,0,11,0,0,1,0,0,0,0,0,0,0,0
1031,11444,1,49,11,4,NA,NA,1828,0,1,0,0,0,0,0,0,0,1,0,0,0
1057,880,1,54,20,1,NA,NA,2201,1,11,0,0,1,0,0,0,0,0,0,0,0
1077,2797,1,58,29,1,NA,NA,1067,1,8,0,1,0,0,0,0,0,0,0,0,0
1100,3730,1,62,20,4,NA,NA,2343,0,1,0,0,0,0,0,0,0,1,0,0,0
1118,1702,1,45,20,5,NA,NA,2866,0,7,0,0,0,0,0,0,0,0,0,1,0
1136,361,1,32,18,3,NA,NA,2450,0,7,0,0,0,0,0,0,0,0,0,1,0
1149,404,1,55,19,1,NA,NA,1324,1,2,0,0,0,0,0,1,0,0,0,0,0
1157,8062,1,53,10,5,NA,NA,2176,0,6,0,0,0,1,0,0,0,0,0,0,0
1213,10592,1,42,26,7,NA,NA,1661,1,4,0,0,0,0,0,0,1,0,0,0,0
1215,9970,1,47,22,1,NA,NA,1878,1,8,0,1,0,0,0,0,0,0,0,0,0
1248,11834,1,41,10,6,NA,NA,1150,0,9,0,0,0,0,1,0,0,0,0,0,0
1344,4277,1,36,20,2,NA,NA,2094,0,2,0,0,0,0,0,1,0,0,0,0,0
1348,3266,1,21,25,4,NA,NA,1221,0,9,0,0,0,0,1,0,0,0,0,0,0
1353,703,1,41,13,3,NA,NA,2241,0,1,0,0,0,0,0,0,0,1,0,0,0
1383,5288,1,45,10,5,NA,NA,2273,0,6,0,0,0,1,0,0,0,0,0,0,0
1488,7057,1,50,13,4,NA,NA,1399,0,5,0,0,0,0,0,0,0,0,0,0,1
1549,9734,1,36,17,7,NA,NA,2583,1,5,0,0,0,0,0,0,0,0,0,0,1
1551,2145,1,70,16,2,NA,NA,1667,0,6,0,0,0,1,0,0,0,0,0,0,0
1560,1514,1,47,18,6,NA,NA,1291,0,2,0,0,0,0,0,1,0,0,0,0,0
1605,8522,1,18,5,7,NA,NA,2007,1,3,1,0,0,0,0,0,0,0,0,0,0
1639,1499,1,28,26,7,NA,NA,1229,1,4,0,0,0,0,0,0,1,0,0,0,0
1658,8208,1,18,16,7,NA,NA,2446,1,5,0,0,0,0,0,0,0,0,0,0,1
1659,4344,1,38,20,3,NA,NA,1907,0,5,0,0,0,0,0,0,0,0,0,0,1
1673,6328,1,22,12,1,NA,NA,998,1,8,0,1,0,0,0,0,0,0,0,0,0
1720,6246,1,53,11,2,NA,NA,1595,0,1,0,0,0,0,0,0,0,1,0,0,0
1729,2004,1,60,6,1,NA,NA,2108,1,3,1,0,0,0,0,0,0,0,0,0,0
1787,5500,1,30,18,7,NA,NA,1267,1,2,0,0,0,0,0,1,0,0,0,0,0
1835,4953,1,52,10,3,NA,NA,1461,0,1,0,0,0,0,0,0,0,1,0,0,0
1873,8473,1,65,20,4,NA,NA,647,0,1,0,0,0,0,0,0,0,1,0,0,0
