SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
1944,1547,1,83,20,1,NA,NA,1053,1,11,0,0,1,0,0,0,0,0,0,0,0
1951,5697,1,18,28,2,NA,NA,1198,0,11,0,0,1,0,0,0,0,0,0,0,0
2055,9393,1,40,18,7,NA,NA,1968,1,8,0,1,0,0,0,0,0,0,0,0,0
2060,3350,1,75,14,6,NA,NA,1615,0,10,0,0,0,0,0,0,0,0,1,0,0
2061,4396,1,60,26,7,NA,NA,1571,1,4,0,0,0,0,0,0,1,0,0,0,0
2072,10129,1,55,15,3,NA,NA,1859,0,11,0,0,1,0,0,0,0,0,0,0,0
2083,7897,1,60,12,5,NA,NA,2012,0,10,0,0,0,0,0,0,0,0,1,0,0
2160,3087,1,77,20,2,NA,NA,556,0,9,0,0,0,0,1,0,0,0,0,0,0
2169,97,1,30,2,4,NA,NA,1447,0,2,0,0,0,0,0,1,0,0,0,0,0
2182,9660,1,55,20,1,NA,NA,2342,1,11,0,0,1,0,0,0,0,0,0,0,0
2208,926,1,25,12,4,NA,NA,1906,0,10,0,0,0,0,0,0,0,0,1,0,0
2261,4944,1,20,21,5,NA,NA,1055,0,1,0,0,0,0,0,0,0,1,0,0,0
2267,6132,1,59,10,3,NA,NA,1326,0,1,0,0,0,0,0,0,0,1,0,0,0
2321,3932,1,41,26,3,NA,NA,2337,0,1,0,0,0,0,0,0,0,1,0,0,0
2357,8911,1,29,15,4,NA,NA,793,0,8,0,1,0,0,0,0,0,0,0,0,0
2396,2319,1,55,5,6,NA,NA,2154,0,6,0,0,0,1,0,0,0,0,0,0,0
2421,3847,1,35,23,4,NA,NA,1035,0,7,0,0,0,0,0,0,0,0,0,1,0
2452,9419,1,45,27,3,NA,NA,1530,0,6,0,0,0,1,0,0,0,0,0,0,0
2503,8057,1,42,15,6,NA,NA,1761,0,5,0,0,0,0,0,0,0,0,0,0,1
2533,6519,1,38,18,2,NA,NA,813,0,3,1,0,0,0,0,0,0,0,0,0,0
2542,8765,1,27,24,4,NA,NA,1287,0,11,0,0,1,0,0,0,0,0,0,0,0
2578,8085,1,56,5,7,NA,NA,1828,1,3,1,0,0,0,0,0,0,0,0,0,0
2626,7992,1,22,18,2,NA,NA,1710,0,8,0,1,0,0,0,0,0,0,0,0,0
2672,8645,1,63,15,4,NA,NA,1907,0,3,1,0,0,0,0,0,0,0,0,0,0
2686,11366,1,51,17,5,NA,NA,2049,0,3,1,0,0,0,0,0,0,0,0,0,0
2712,7279,1,72,15,4,NA,NA,838,0,8,0,1,0,0,0,0,0,0,0,0,0
2722,11525,1,39,18,3,NA,NA,1808,0,7,0,0,0,0,0,0,0,0,0,1,0
2749,11898,1,34,30,1,NA,NA,1321,1,2,0,0,0,0,0,1,0,0,0,0,0
2824,4821,1,25,18,4,NA,NA,1425,0,6,0,0,0,1,0,0,0,0,0,0,0
2833,4972,1,18,26,2,NA,NA,1537,0,6,0,0,0,1,0,0,0,0,0,0,0
2873,9990,1,33,15,6,NA,NA,1186,0,1,0,0,0,0,0,0,0,1,0,0,0
2911,4972,1,22,26,2,NA,NA,1606,0,6,0,0,0,1,0,0,0,0,0,0,0
2925,10787,1,72,20,2,NA,NA,1160,0,2,0,0,0,0,0,1,0,0,0,0,0
2926,11232,1,63,26,2,NA,NA,1698,0,6,0,0,0,1,0,0,0,0,0,0,0
2927,1969,1,19,21,5,NA,NA,1817,0,9,0,0,0,0,1,0,0,0,0,0,0
2982,4298,1,33,22,5,NA,NA,3027,0,6,0,0,0,1,0,0,0,0,0,0,0
2995,6604,1,29,5,7,NA,NA,2843,1,3,1,0,0,0,0,0,0,0,0,0,0
2997,1294,1,67,20,5,NA,NA,1837,0,10,0,0,0,0,0,0,0,0,1,0,0
3158,3091,1,41,12,3,NA,NA,1780,0,1,0,0,0,0,0,0,0,1,0,0,0
3168,2263,1,58,23,6,NA,NA,2237,0,6,0,0,0,1,0,0,0,0,0,0,0
3199,6890,1,18,24,5,NA,NA,1885,0,4,0,0,0,0,0,0,1,0,0,0,0
3235,1477,1,48,16,1,NA,NA,830,1,7,0,0,0,0,0,0,0,0,0,1,0
3246,2024,1,33,12,3,NA,NA,1595,0,1,0,0,0,0,0,0,0,1,0,0,0
3248,4273,1,68,24,5,NA,NA,1942,0,4,0,0,0,0,0,0,1,0,0,0,0
3276,3678,1,58,23,4,NA,NA,2185,0,7,0,0,0,0,0,0,0,0,0,1,0
3281,58,1,54,19,4,NA,NA,1854,0,10,0,0,0,0,0,0,0,0,1,0,0
3302,2359,1,58,15,6,NA,NA,1639,0,5,0,0,0,0,0,0,0,0,0,0,1
3406,7475,1,77,14,3,NA,NA,630,0,4,0,0,0,0,0,0,1,0,0,0,0
3459,7632,1,60,4,5,NA,NA,1705,0,6,0,0,0,1,0,0,0,0,0,0,0
3466,2237,1,27,13,4,NA,NA,3552,0,5,0,0,0,0,0,0,0,0,0,0,1
3537,11204,1,39,16,5,NA,NA,1700,0,4,0,0,0,0,0,0,1,0,0,0,0
3541,11072,1,39,23,4,NA,NA,2632,0,8,0,1,0,0,0,0,0,0,0,0,0
3630,9328,1,54,26,7,NA,NA,800,1,4,0,0,0,0,0,0,1,0,0,0,0
3631,7540,1,53,14,3,NA,NA,1340,0,3,1,0,0,0,0,0,0,0,0,0,0
3652,8208,1,48,16,7,NA,NA,2329,1,5,0,0,0,0,0,0,0,0,0,0,1
