SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_2,adm2_4,adm2_3,adm2_5,adm2_7,adm2_6,adm2_11,adm2_10,adm2_8,adm2_1,adm2_9
1006,8426,1,54,21,7,NA,NA,190,21,NA,NA,271,21,NA,NA,16.05,21,NA,NA,11.73,21,NA,NA,0,1,5,0,0,0,1,0,0,0,0,0,0,0
1078,3442,1,37,20,3,NA,NA,15,20,NA,NA,125,20,NA,NA,10.77,20,NA,NA,7.38,20,NA,NA,0,0,9,0,0,0,0,0,0,0,0,0,0,1
1155,356,1,24,13,6,NA,NA,63,13,NA,NA,201,13,NA,NA,10.94,13,NA,NA,7.88,13,NA,NA,0.54,0,5,0,0,0,1,0,0,0,0,0,0,0
1203,4439,1,50,27,7,NA,NA,27,27,NA,NA,263,27,NA,NA,11.47,27,NA,NA,7.189999999999999,27,NA,NA,0,1,5,0,0,0,1,0,0,0,0,0,0,0
1219,4760,1,28,18,3,NA,NA,171,18,NA,NA,119,18,NA,NA,10.839999999999998,18,NA,NA,7.72,18,NA,NA,0,0,11,0,0,0,0,0,0,1,0,0,0,0
1220,1724,1,61,1,3,NA,NA,40,1,NA,NA,298,1,NA,NA,22.97,1,NA,NA,16.16,1,NA,NA,0,0,7,0,0,0,0,1,0,0,0,0,0,0
1225,8391,1,50,9,6,NA,NA,13,9,NA,NA,147,9,NA,NA,15.02,9,NA,NA,11.969999999999999,9,NA,NA,0,0,3,0,0,1,0,0,0,0,0,0,0,0
1253,11704,1,19,12,5,NA,NA,18,12,NA,NA,150,12,NA,NA,8.74,12,NA,NA,7.759999999999998,12,NA,NA,0,0,5,0,0,0,1,0,0,0,0,0,0,0
1269,9592,1,40,26,2,NA,NA,34,26,NA,NA,148,26,NA,NA,7.08,26,NA,NA,6.519999999999999,26,NA,NA,0,0,5,0,0,0,1,0,0,0,0,0,0,0
1288,6369,1,50,16,1,NA,NA,1183,16,NA,NA,165,16,NA,NA,12.860000000000001,16,NA,NA,9.55,16,NA,NA,3.39,1,11,0,0,0,0,0,0,1,0,0,0,0
1311,11714,1,19,20,3,NA,NA,3014,20,NA,NA,332,20,NA,NA,20.049999999999997,20,NA,NA,9.609999999999998,20,NA,NA,1.638,0,9,0,0,0,0,0,0,0,0,0,0,1
1388,1694,1,24,27,3,NA,NA,15,27,NA,NA,185,27,NA,NA,7.739999999999999,27,NA,NA,7.83,27,NA,NA,0,0,5,0,0,0,1,0,0,0,0,0,0,0
1407,2879,1,45,9,2,NA,NA,7,9,NA,NA,955,9,NA,NA,8.94,9,NA,NA,7.970000000000001,9,NA,NA,6.48,0,4,0,1,0,0,0,0,0,0,0,0,0
1466,6419,1,42,25,2,NA,NA,49,25,NA,NA,151,25,NA,NA,13.279999999999998,25,NA,NA,7.859999999999999,25,NA,NA,0,0,6,0,0,0,0,0,1,0,0,0,0,0
1497,124,1,33,2,4,NA,NA,20,2,NA,NA,216,2,NA,NA,15.169999999999996,2,NA,NA,9.32,2,NA,NA,0,0,9,0,0,0,0,0,0,0,0,0,0,1
1516,10378,1,38,18,3,NA,NA,2,18,NA,NA,55,18,NA,NA,5.47,18,NA,NA,5.39,18,NA,NA,3.92,0,11,0,0,0,0,0,0,1,0,0,0,0
1544,4330,1,31,20,4,NA,NA,446,20,NA,NA,137,20,NA,NA,19.040000000000003,20,NA,NA,8.37,20,NA,NA,0,0,8,0,0,0,0,0,0,0,0,1,0,0
1546,2645,1,45,19,3,NA,NA,1606,19,NA,NA,162,19,NA,NA,32.9,19,NA,NA,8.95,19,NA,NA,0,0,8,0,0,0,0,0,0,0,0,1,0,0
1547,2261,1,41,15,5,NA,NA,25,15,NA,NA,414,15,NA,NA,45.26,15,NA,NA,20.8,15,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1597,5586,1,24,19,1,NA,NA,24,19,NA,NA,264,19,NA,NA,17.21,19,NA,NA,11.969999999999999,19,NA,NA,0,1,11,0,0,0,0,0,0,1,0,0,0,0
1600,6830,1,27,24,5,NA,NA,103,24,NA,NA,141,24,NA,NA,12.15,24,NA,NA,7.89,24,NA,NA,0,0,2,1,0,0,0,0,0,0,0,0,0,0
1610,6232,1,18,12,6,NA,NA,2711,12,NA,NA,171,12,NA,NA,37.059999999999995,12,NA,NA,8.43,12,NA,NA,0,0,3,0,0,1,0,0,0,0,0,0,0,0
1645,4731,1,25,11,3,NA,NA,16,11,NA,NA,230,11,NA,NA,8.030000000000001,11,NA,NA,7.21,11,NA,NA,0,0,9,0,0,0,0,0,0,0,0,0,0,1
1663,9583,1,30,19,4,NA,NA,48,19,NA,NA,129,19,NA,NA,19.000000000000007,19,NA,NA,10.35,19,NA,NA,1.098,0,11,0,0,0,0,0,0,1,0,0,0,0
1680,336,1,50,12,4,NA,NA,492,12,NA,NA,213,12,NA,NA,20.86,12,NA,NA,9.6,12,NA,NA,0.477,0,4,0,1,0,0,0,0,0,0,0,0,0
1685,5896,1,18,11,6,NA,NA,96,11,NA,NA,297,11,NA,NA,8.5,11,NA,NA,7.72,11,NA,NA,0,0,9,0,0,0,0,0,0,0,0,0,0,1
