SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_6,adm2_3,adm2_7,adm2_8,adm2_1,adm2_4,adm2_5
2894,1316,1,67,6,NA,NA,3163,0,3,0,0,1,0,0,0,0,0
2963,11858,1,42,15,NA,NA,1569,0,4,0,0,0,0,0,0,1,0
3012,8807,1,69,21,NA,NA,1357,0,1,0,0,0,0,0,1,0,0
3057,10714,1,75,24,NA,NA,1002,0,8,0,0,0,0,1,0,0,0
3083,3414,1,39,25,NA,NA,1568,0,7,0,0,0,1,0,0,0,0
3110,3134,1,51,8,NA,NA,1833,0,8,0,0,0,0,1,0,0,0
3258,10467,1,60,16,NA,NA,1586,0,3,0,0,1,0,0,0,0,0
3263,8379,1,60,12,NA,NA,1390,0,6,0,1,0,0,0,0,0,0
3331,5594,1,39,12,NA,NA,2467,0,1,0,0,0,0,0,1,0,0
3362,10079,1,62,6,NA,NA,2361,0,4,0,0,0,0,0,0,1,0
3384,9594,1,30,29,NA,NA,1560,0,7,0,0,0,1,0,0,0,0
3399,3982,1,39,19,NA,NA,632,0,8,0,0,0,0,1,0,0,0
3424,7943,1,67,12,NA,NA,1448,0,1,0,0,0,0,0,1,0,0
3454,8403,1,28,24,NA,NA,1049,0,3,0,0,1,0,0,0,0,0
3485,5682,1,48,29,NA,NA,2272,0,3,0,0,1,0,0,0,0,0
3508,42,1,38,29,NA,NA,2169,0,3,0,0,1,0,0,0,0,0
3516,10096,1,40,1,NA,NA,1489,1,1,0,0,0,0,0,1,0,0
3521,3285,1,54,3,NA,NA,986,0,7,0,0,0,1,0,0,0,0
3538,10196,1,32,20,NA,NA,1969,0,7,0,0,0,1,0,0,0,0
3564,10017,1,34,9,NA,NA,1420,0,1,0,0,0,0,0,1,0,0
3595,2927,1,61,14,NA,NA,1655,0,2,1,0,0,0,0,0,0,0
3597,8035,1,23,8,NA,NA,1862,0,1,0,0,0,0,0,1,0,0
3638,8489,1,75,11,NA,NA,1513,0,4,0,0,0,0,0,0,1,0
3654,5364,1,48,5,NA,NA,1967,0,3,0,0,1,0,0,0,0,0
3815,3005,1,55,21,NA,NA,2409,0,1,0,0,0,0,0,1,0,0
3837,7059,1,42,16,NA,NA,1530,0,5,0,0,0,0,0,0,0,1
3844,9832,1,37,2,NA,NA,1781,0,1,0,0,0,0,0,1,0,0
3867,1207,1,50,17,NA,NA,2291,0,7,0,0,0,1,0,0,0,0
3920,399,1,35,25,NA,NA,2383,0,3,0,0,1,0,0,0,0,0
3997,8534,1,28,26,NA,NA,1777,0,5,0,0,0,0,0,0,0,1
4014,8945,1,40,7,NA,NA,2854,1,3,0,0,1,0,0,0,0,0
4028,5846,1,42,8,NA,NA,1391,0,8,0,0,0,0,1,0,0,0
4148,11717,1,28,16,NA,NA,1485,0,5,0,0,0,0,0,0,0,1
4176,6356,1,39,5,NA,NA,1811,0,3,0,0,1,0,0,0,0,0
4194,836,1,18,28,NA,NA,913,0,3,0,0,1,0,0,0,0,0
4196,8121,1,34,22,NA,NA,1857,0,5,0,0,0,0,0,0,0,1
4207,3514,1,55,9,NA,NA,1236,0,8,0,0,0,0,1,0,0,0
4320,317,1,38,9,NA,NA,1182,0,6,0,1,0,0,0,0,0,0
4322,1108,1,47,26,NA,NA,1305,0,7,0,0,0,1,0,0,0,0
4344,770,1,43,14,NA,NA,2182,0,1,0,0,0,0,0,1,0,0
4369,8939,1,18,7,NA,NA,1351,1,1,0,0,0,0,0,1,0,0
4579,6786,1,35,24,NA,NA,1430,0,5,0,0,0,0,0,0,0,1
4593,11302,1,52,31,NA,NA,1617,0,1,0,0,0,0,0,1,0,0
4619,2765,1,46,12,NA,NA,1767,0,1,0,0,0,0,0,1,0,0
4620,3249,1,35,7,NA,NA,1575,1,6,0,1,0,0,0,0,0,0
4644,8968,1,18,9,NA,NA,2178,0,4,0,0,0,0,0,0,1,0
4704,3642,1,22,26,NA,NA,1743,0,1,0,0,0,0,0,1,0,0
4723,2272,1,35,25,NA,NA,1565,0,5,0,0,0,0,0,0,0,1
4733,7709,1,35,14,NA,NA,1199,0,8,0,0,0,0,1,0,0,0
4771,3509,1,26,25,NA,NA,1683,0,7,0,0,0,1,0,0,0,0
4871,4548,1,66,30,NA,NA,1011,0,1,0,0,0,0,0,1,0,0
4960,7438,1,45,21,NA,NA,1495,0,3,0,0,1,0,0,0,0,0
5008,10286,1,35,28,NA,NA,1766,0,7,0,0,0,1,0,0,0,0
5055,5087,1,41,24,NA,NA,1439,0,8,0,0,0,0,1,0,0,0
