SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_2,adm2_7,adm2_10,adm2_5,adm2_6,adm2_4
2102,9929,1,22,30,NA,NA,2023,0,1,0,0,1,0,0,0,0,0,0,0
2105,10772,1,20,4,NA,NA,1083,0,9,1,0,0,0,0,0,0,0,0,0
2120,8152,1,38,11,NA,NA,1531,0,10,0,0,0,0,0,0,1,0,0,0
2157,6566,1,42,19,NA,NA,3286,0,2,0,0,0,0,1,0,0,0,0,0
2183,8742,1,70,30,NA,NA,707,0,1,0,0,1,0,0,0,0,0,0,0
2186,11655,1,30,13,NA,NA,1706,0,10,0,0,0,0,0,0,1,0,0,0
2209,9795,1,35,28,NA,NA,453,0,1,0,0,1,0,0,0,0,0,0,0
2245,9657,1,36,14,NA,NA,1100,0,8,0,0,0,1,0,0,0,0,0,0
2253,2144,1,30,21,NA,NA,2264,0,1,0,0,1,0,0,0,0,0,0,0
2307,8565,1,27,6,NA,NA,1740,0,7,0,0,0,0,0,1,0,0,0,0
2328,3324,1,70,24,NA,NA,1757,0,6,0,0,0,0,0,0,0,0,1,0
2333,1002,1,29,25,NA,NA,2271,0,3,0,1,0,0,0,0,0,0,0,0
2343,7030,1,55,4,NA,NA,1898,0,1,0,0,1,0,0,0,0,0,0,0
2381,3501,1,32,3,NA,NA,1557,0,9,1,0,0,0,0,0,0,0,0,0
2406,179,1,55,18,NA,NA,1820,0,3,0,1,0,0,0,0,0,0,0,0
2416,643,1,52,8,NA,NA,1982,0,6,0,0,0,0,0,0,0,0,1,0
2427,4876,1,90,2,NA,NA,1924,0,8,0,0,0,1,0,0,0,0,0,0
2436,3354,1,26,29,NA,NA,2333,0,1,0,0,1,0,0,0,0,0,0,0
2494,6566,1,18,19,NA,NA,2007,0,2,0,0,0,0,1,0,0,0,0,0
2515,7699,1,33,9,NA,NA,1268,0,7,0,0,0,0,0,1,0,0,0,0
2525,5742,1,31,29,NA,NA,1890,0,3,0,1,0,0,0,0,0,0,0,0
2528,3919,1,52,5,NA,NA,1964,0,1,0,0,1,0,0,0,0,0,0,0
2529,1929,1,24,6,NA,NA,1501,0,7,0,0,0,0,0,1,0,0,0,0
2581,1363,1,35,4,NA,NA,2645,0,7,0,0,0,0,0,1,0,0,0,0
2599,1768,1,37,4,NA,NA,2350,0,7,0,0,0,0,0,1,0,0,0,0
2602,7950,1,80,20,NA,NA,1429,0,8,0,0,0,1,0,0,0,0,0,0
2655,3073,1,35,9,NA,NA,1259,0,9,1,0,0,0,0,0,0,0,0,0
2689,13,1,40,23,NA,NA,2230,0,10,0,0,0,0,0,0,1,0,0,0
2734,10391,1,24,14,NA,NA,1603,0,3,0,1,0,0,0,0,0,0,0,0
2754,6061,1,28,3,NA,NA,2655,0,5,0,0,0,0,0,0,0,1,0,0
2756,5935,1,55,14,NA,NA,1853,0,7,0,0,0,0,0,1,0,0,0,0
2800,6330,1,22,20,NA,NA,2539,0,4,0,0,0,0,0,0,0,0,0,1
2802,4236,1,48,26,NA,NA,2342,0,1,0,0,1,0,0,0,0,0,0,0
2813,6265,1,31,22,NA,NA,1542,0,4,0,0,0,0,0,0,0,0,0,1
2844,1751,1,42,18,NA,NA,1616,0,3,0,1,0,0,0,0,0,0,0,0
2856,8667,1,32,25,NA,NA,1489,0,5,0,0,0,0,0,0,0,1,0,0
2870,11547,1,21,8,NA,NA,1765,0,7,0,0,0,0,0,1,0,0,0,0
2979,3582,1,55,26,NA,NA,1165,0,2,0,0,0,0,1,0,0,0,0,0
2989,11674,1,30,22,NA,NA,2040,0,2,0,0,0,0,1,0,0,0,0,0
2998,9960,1,30,16,NA,NA,1809,0,3,0,1,0,0,0,0,0,0,0,0
3025,5377,1,37,10,NA,NA,1437,0,7,0,0,0,0,0,1,0,0,0,0
3049,9477,1,23,9,NA,NA,886,0,9,1,0,0,0,0,0,0,0,0,0
3050,7331,1,21,25,NA,NA,484,0,3,0,1,0,0,0,0,0,0,0,0
3071,3190,1,30,20,NA,NA,1854,0,3,0,1,0,0,0,0,0,0,0,0
3167,5870,1,24,4,NA,NA,1196,0,5,0,0,0,0,0,0,0,1,0,0
3177,6870,1,24,9,NA,NA,1918,0,10,0,0,0,0,0,0,1,0,0,0
3191,2863,1,18,13,NA,NA,1106,0,10,0,0,0,0,0,0,1,0,0,0
3244,8661,1,70,21,NA,NA,1846,0,9,1,0,0,0,0,0,0,0,0,0
3267,9698,1,18,19,NA,NA,1303,0,3,0,1,0,0,0,0,0,0,0,0
3312,3077,1,59,18,NA,NA,2101,0,3,0,1,0,0,0,0,0,0,0,0
3392,11201,1,35,21,NA,NA,1470,0,4,0,0,0,0,0,0,0,0,0,1
3417,5521,1,21,21,NA,NA,2855,0,1,0,0,1,0,0,0,0,0,0,0
3427,7831,1,53,14,NA,NA,1318,0,3,0,1,0,0,0,0,0,0,0,0
3443,3844,1,35,17,NA,NA,2956,0,10,0,0,0,0,0,0,1,0,0,0
3449,11596,1,36,30,NA,NA,1119,0,7,0,0,0,0,0,1,0,0,0,0
3450,226,1,27,21,NA,NA,1280,0,3,0,1,0,0,0,0,0,0,0,0
3475,6559,1,30,20,NA,NA,993,0,4,0,0,0,0,0,0,0,0,0,1
3496,802,1,45,5,NA,NA,1772,0,5,0,0,0,0,0,0,0,1,0,0
3526,2988,1,47,21,NA,NA,2792,0,1,0,0,1,0,0,0,0,0,0,0
3572,319,1,28,9,NA,NA,1997,0,10,0,0,0,0,0,0,1,0,0,0
3573,4063,1,40,3,NA,NA,2102,0,2,0,0,0,0,1,0,0,0,0,0
3574,629,1,38,14,NA,NA,1800,0,7,0,0,0,0,0,1,0,0,0,0
3665,8716,1,25,4,NA,NA,2082,0,6,0,0,0,0,0,0,0,0,1,0
3666,3377,1,85,16,NA,NA,981,0,7,0,0,0,0,0,1,0,0,0,0
3706,10483,1,35,4,NA,NA,1658,0,5,0,0,0,0,0,0,0,1,0,0
3707,1440,1,65,25,NA,NA,1899,0,5,0,0,0,0,0,0,0,1,0,0
3718,6293,1,26,21,NA,NA,1760,0,4,0,0,0,0,0,0,0,0,0,1
3769,8955,1,24,7,NA,NA,975,1,9,1,0,0,0,0,0,0,0,0,0
3771,9919,1,20,16,NA,NA,1759,0,7,0,0,0,0,0,1,0,0,0,0
3787,2008,1,21,22,NA,NA,2202,0,7,0,0,0,0,0,1,0,0,0,0
3788,4057,1,23,27,NA,NA,2062,0,1,0,0,1,0,0,0,0,0,0,0
3794,7693,1,19,2,NA,NA,1216,0,2,0,0,0,0,1,0,0,0,0,0
3819,5005,1,33,24,NA,NA,1526,0,1,0,0,1,0,0,0,0,0,0,0
3826,2333,1,20,26,NA,NA,923,0,2,0,0,0,0,1,0,0,0,0,0
3860,10808,1,21,22,NA,NA,2131,0,4,0,0,0,0,0,0,0,0,0,1
3899,4222,1,90,24,NA,NA,817,0,6,0,0,0,0,0,0,0,0,1,0
3910,11852,1,35,18,NA,NA,1932,0,3,0,1,0,0,0,0,0,0,0,0
3931,10808,1,25,22,NA,NA,2131,0,4,0,0,0,0,0,0,0,0,0,1
3987,9040,1,74,28,NA,NA,694,0,3,0,1,0,0,0,0,0,0,0,0
3991,5278,1,85,21,NA,NA,2394,0,10,0,0,0,0,0,0,1,0,0,0
4032,10296,1,80,24,NA,NA,2651,0,7,0,0,0,0,0,1,0,0,0,0
4056,9682,1,40,27,NA,NA,1509,0,1,0,0,1,0,0,0,0,0,0,0
4168,4394,1,22,6,NA,NA,847,0,7,0,0,0,0,0,1,0,0,0,0
4245,8733,1,32,1,NA,NA,1967,1,1,0,0,1,0,0,0,0,0,0,0
4291,4650,1,25,4,NA,NA,2038,0,6,0,0,0,0,0,0,0,0,1,0
4305,754,1,40,15,NA,NA,1901,0,9,1,0,0,0,0,0,0,0,0,0
4338,9316,1,23,16,NA,NA,2732,0,3,0,1,0,0,0,0,0,0,0,0
4349,9477,1,28,9,NA,NA,1135,0,9,1,0,0,0,0,0,0,0,0,0
4393,6400,1,47,21,NA,NA,879,0,4,0,0,0,0,0,0,0,0,0,1
4400,7460,1,55,16,NA,NA,1011,0,8,0,0,0,1,0,0,0,0,0,0
4410,8274,1,42,28,NA,NA,3640,0,4,0,0,0,0,0,0,0,0,0,1
4504,1902,1,22,9,NA,NA,1950,0,7,0,0,0,0,0,1,0,0,0,0
4546,1813,1,65,3,NA,NA,1279,0,5,0,0,0,0,0,0,0,1,0,0
4547,4651,1,62,1,NA,NA,1412,1,2,0,0,0,0,1,0,0,0,0,0
4566,5548,1,50,1,NA,NA,1781,1,2,0,0,0,0,1,0,0,0,0,0
4571,3609,1,60,1,NA,NA,2135,1,2,0,0,0,0,1,0,0,0,0,0
4664,9895,1,30,16,NA,NA,2362,0,7,0,0,0,0,0,1,0,0,0,0
4739,1476,1,77,7,NA,NA,1226,1,1,0,0,1,0,0,0,0,0,0,0
4763,6412,1,19,9,NA,NA,2440,0,7,0,0,0,0,0,1,0,0,0,0
4824,9727,1,18,8,NA,NA,1579,0,9,1,0,0,0,0,0,0,0,0,0
4889,2333,1,45,26,NA,NA,1548,0,2,0,0,0,0,1,0,0,0,0,0
4903,5806,1,48,16,NA,NA,3027,0,3,0,1,0,0,0,0,0,0,0,0
4939,2269,1,23,25,NA,NA,1114,0,5,0,0,0,0,0,0,0,1,0,0
4949,7700,1,45,18,NA,NA,1349,0,3,0,1,0,0,0,0,0,0,0,0
4967,1490,1,65,14,NA,NA,1339,0,8,0,0,0,1,0,0,0,0,0,0
4984,1155,1,50,25,NA,NA,1685,0,3,0,1,0,0,0,0,0,0,0,0
5029,11024,1,45,30,NA,NA,1305,0,2,0,0,0,0,1,0,0,0,0,0
5039,4943,1,29,3,NA,NA,1244,0,5,0,0,0,0,0,0,0,1,0,0
5076,2722,1,70,4,NA,NA,3049,0,6,0,0,0,0,0,0,0,0,1,0
5077,8,1,26,29,NA,NA,2168,0,3,0,1,0,0,0,0,0,0,0,0
5085,1036,1,80,8,NA,NA,1434,0,1,0,0,1,0,0,0,0,0,0,0
5092,6436,1,42,2,NA,NA,900,0,2,0,0,0,0,1,0,0,0,0,0
5095,3619,1,32,6,NA,NA,1549,0,7,0,0,0,0,0,1,0,0,0,0
5099,10747,1,60,17,NA,NA,1783,0,10,0,0,0,0,0,0,1,0,0,0
5127,4893,1,59,7,NA,NA,2006,1,1,0,0,1,0,0,0,0,0,0,0
5147,8700,1,55,7,NA,NA,1259,1,9,1,0,0,0,0,0,0,0,0,0
5173,7304,1,45,6,NA,NA,2003,0,1,0,0,1,0,0,0,0,0,0,0
5189,7296,1,25,21,NA,NA,2300,0,4,0,0,0,0,0,0,0,0,0,1
5214,4978,1,40,17,NA,NA,1320,0,9,1,0,0,0,0,0,0,0,0,0
5276,2348,1,60,19,NA,NA,1232,0,8,0,0,0,1,0,0,0,0,0,0
5323,2975,1,38,3,NA,NA,947,0,9,1,0,0,0,0,0,0,0,0,0
5330,5950,1,85,8,NA,NA,1635,0,7,0,0,0,0,0,1,0,0,0,0
5341,9547,1,50,18,NA,NA,1893,0,3,0,1,0,0,0,0,0,0,0,0
5367,1624,1,30,9,NA,NA,3317,0,10,0,0,0,0,0,0,1,0,0,0
5374,3643,1,40,4,NA,NA,1298,0,6,0,0,0,0,0,0,0,0,1,0
5424,207,1,45,8,NA,NA,1805,0,6,0,0,0,0,0,0,0,0,1,0
5465,328,1,32,2,NA,NA,1712,0,2,0,0,0,0,1,0,0,0,0,0
5543,3507,1,65,30,NA,NA,1833,0,2,0,0,0,0,1,0,0,0,0,0
5566,2530,1,70,6,NA,NA,511,0,9,1,0,0,0,0,0,0,0,0,0
5641,7244,1,65,4,NA,NA,4482,0,6,0,0,0,0,0,0,0,0,1,0
5651,1314,1,31,30,NA,NA,1942,0,8,0,0,0,1,0,0,0,0,0,0
5695,8716,1,35,4,NA,NA,2377,0,6,0,0,0,0,0,0,0,0,1,0
5710,11178,1,40,25,NA,NA,389,0,1,0,0,1,0,0,0,0,0,0,0
5726,6870,1,80,9,NA,NA,699,0,10,0,0,0,0,0,0,1,0,0,0
5783,1874,1,30,11,NA,NA,2409,0,10,0,0,0,0,0,0,1,0,0,0
5786,1692,1,51,2,NA,NA,2998,0,2,0,0,0,0,1,0,0,0,0,0
5792,2254,1,19,20,NA,NA,1682,0,4,0,0,0,0,0,0,0,0,0,1
5820,3789,1,45,21,NA,NA,1915,0,4,0,0,0,0,0,0,0,0,0,1
5822,2481,1,60,2,NA,NA,2423,0,6,0,0,0,0,0,0,0,0,1,0
5828,7031,1,50,6,NA,NA,1422,0,7,0,0,0,0,0,1,0,0,0,0
5837,4850,1,72,6,NA,NA,1103,0,5,0,0,0,0,0,0,0,1,0,0
5844,1074,1,56,9,NA,NA,4756,0,10,0,0,0,0,0,0,1,0,0,0
5924,6965,1,50,5,NA,NA,1841,0,9,1,0,0,0,0,0,0,0,0,0
5937,8986,1,29,2,NA,NA,1830,0,2,0,0,0,0,1,0,0,0,0,0
5971,10808,1,28,22,NA,NA,2131,0,4,0,0,0,0,0,0,0,0,0,1
5984,1449,1,55,30,NA,NA,2310,0,5,0,0,0,0,0,0,0,1,0,0
6016,6937,1,54,4,NA,NA,2987,0,5,0,0,0,0,0,0,0,1,0,0
6019,9811,1,30,21,NA,NA,1726,0,1,0,0,1,0,0,0,0,0,0,0
6028,6243,1,40,30,NA,NA,1754,0,2,0,0,0,0,1,0,0,0,0,0
6067,3171,1,36,14,NA,NA,1456,0,7,0,0,0,0,0,1,0,0,0,0
6074,11658,1,29,18,NA,NA,2001,0,3,0,1,0,0,0,0,0,0,0,0
6121,8692,1,64,6,NA,NA,2014,0,5,0,0,0,0,0,0,0,1,0,0
6126,7949,1,23,6,NA,NA,891,0,7,0,0,0,0,0,1,0,0,0,0
6134,1404,1,50,9,NA,NA,2015,0,10,0,0,0,0,0,0,1,0,0,0
6149,6884,1,30,6,NA,NA,1312,0,9,1,0,0,0,0,0,0,0,0,0
6163,5318,1,40,12,NA,NA,3303,0,10,0,0,0,0,0,0,1,0,0,0
6174,10548,1,65,20,NA,NA,577,0,8,0,0,0,1,0,0,0,0,0,0
6181,8839,1,22,1,NA,NA,2261,1,8,0,0,0,1,0,0,0,0,0,0
6197,2942,1,22,24,NA,NA,1201,0,6,0,0,0,0,0,0,0,0,1,0
6251,9874,1,66,6,NA,NA,1361,0,9,1,0,0,0,0,0,0,0,0,0
6279,628,1,38,4,NA,NA,2604,0,6,0,0,0,0,0,0,0,0,1,0
6296,7242,1,40,7,NA,NA,1559,1,1,0,0,1,0,0,0,0,0,0,0
6345,786,1,22,22,NA,NA,930,0,6,0,0,0,0,0,0,0,0,1,0
6377,3162,1,80,7,NA,NA,1135,1,7,0,0,0,0,0,1,0,0,0,0
6390,8600,1,30,6,NA,NA,1541,0,1,0,0,1,0,0,0,0,0,0,0
6398,7884,1,55,20,NA,NA,1075,0,8,0,0,0,1,0,0,0,0,0,0
6416,10282,1,93,6,NA,NA,1155,0,7,0,0,0,0,0,1,0,0,0,0
6437,4364,1,35,24,NA,NA,1479,0,7,0,0,0,0,0,1,0,0,0,0
6474,9727,1,21,8,NA,NA,1145,0,9,1,0,0,0,0,0,0,0,0,0
6512,2619,1,45,22,NA,NA,1099,0,7,0,0,0,0,0,1,0,0,0,0
6530,3595,1,55,25,NA,NA,2222,0,3,0,1,0,0,0,0,0,0,0,0
6601,3078,1,36,6,NA,NA,2091,0,6,0,0,0,0,0,0,0,0,1,0
6623,6209,1,29,29,NA,NA,2069,0,1,0,0,1,0,0,0,0,0,0,0
6661,7282,1,66,6,NA,NA,1332,0,6,0,0,0,0,0,0,0,0,1,0
6698,2942,1,28,24,NA,NA,1201,0,6,0,0,0,0,0,0,0,0,1,0
6744,9453,1,27,15,NA,NA,1402,0,8,0,0,0,1,0,0,0,0,0,0
6831,10526,1,35,22,NA,NA,1954,0,2,0,0,0,0,1,0,0,0,0,0
6843,7031,1,21,6,NA,NA,1409,0,7,0,0,0,0,0,1,0,0,0,0
6859,11061,1,18,8,NA,NA,1453,0,9,1,0,0,0,0,0,0,0,0,0
6908,10711,1,26,1,NA,NA,2630,1,2,0,0,0,0,1,0,0,0,0,0
6924,5948,1,45,1,NA,NA,1940,1,2,0,0,0,0,1,0,0,0,0,0
6927,11756,1,35,2,NA,NA,1607,0,1,0,0,1,0,0,0,0,0,0,0
6954,2482,1,43,29,NA,NA,1660,0,3,0,1,0,0,0,0,0,0,0,0
6982,9715,1,35,19,NA,NA,2924,0,1,0,0,1,0,0,0,0,0,0,0
6991,319,1,70,9,NA,NA,1709,0,10,0,0,0,0,0,0,1,0,0,0
7007,4074,1,70,26,NA,NA,1270,0,1,0,0,1,0,0,0,0,0,0,0
7034,4239,1,60,4,NA,NA,1591,0,9,1,0,0,0,0,0,0,0,0,0
7070,2613,1,27,26,NA,NA,817,0,2,0,0,0,0,1,0,0,0,0,0
7092,9121,1,20,10,NA,NA,1692,0,9,1,0,0,0,0,0,0,0,0,0
7116,7497,1,70,24,NA,NA,1252,0,7,0,0,0,0,0,1,0,0,0,0
7128,9766,1,26,4,NA,NA,3062,0,5,0,0,0,0,0,0,0,1,0,0
7141,8213,1,32,7,NA,NA,1472,1,5,0,0,0,0,0,0,0,1,0,0
7147,7823,1,18,26,NA,NA,1890,0,2,0,0,0,0,1,0,0,0,0,0
7150,6167,1,18,24,NA,NA,2266,0,1,0,0,1,0,0,0,0,0,0,0
7159,7685,1,26,19,NA,NA,775,0,8,0,0,0,1,0,0,0,0,0,0
7171,11672,1,45,10,NA,NA,2115,0,7,0,0,0,0,0,1,0,0,0,0
7207,8731,1,25,14,NA,NA,1436,0,7,0,0,0,0,0,1,0,0,0,0
7230,11516,1,40,1,NA,NA,1848,1,2,0,0,0,0,1,0,0,0,0,0
7241,3501,1,65,3,NA,NA,482,0,9,1,0,0,0,0,0,0,0,0,0
7248,6981,1,65,8,NA,NA,959,0,9,1,0,0,0,0,0,0,0,0,0
7252,7949,1,18,6,NA,NA,1584,0,7,0,0,0,0,0,1,0,0,0,0
7254,1404,1,18,9,NA,NA,2038,0,10,0,0,0,0,0,0,1,0,0,0
7264,6955,1,23,27,NA,NA,1268,0,1,0,0,1,0,0,0,0,0,0,0
7294,8881,1,60,18,NA,NA,766,0,8,0,0,0,1,0,0,0,0,0,0
7296,5326,1,35,20,NA,NA,1291,0,4,0,0,0,0,0,0,0,0,0,1
7303,11305,1,21,15,NA,NA,1711,0,8,0,0,0,1,0,0,0,0,0,0
7314,11441,1,20,21,NA,NA,1785,0,5,0,0,0,0,0,0,0,1,0,0
7343,9366,1,35,7,NA,NA,1515,1,9,1,0,0,0,0,0,0,0,0,0
7378,3325,1,75,2,NA,NA,1268,0,5,0,0,0,0,0,0,0,1,0,0
7391,5746,1,36,18,NA,NA,1390,0,8,0,0,0,1,0,0,0,0,0,0
7421,6388,1,21,29,NA,NA,2102,0,5,0,0,0,0,0,0,0,1,0,0
7473,9746,1,55,13,NA,NA,1739,0,3,0,1,0,0,0,0,0,0,0,0
7560,10794,1,56,2,NA,NA,1336,0,2,0,0,0,0,1,0,0,0,0,0
7561,10772,1,60,4,NA,NA,1241,0,9,1,0,0,0,0,0,0,0,0,0
7638,5246,1,50,6,NA,NA,2561,0,6,0,0,0,0,0,0,0,0,1,0
7702,6441,1,45,27,NA,NA,2300,0,4,0,0,0,0,0,0,0,0,0,1
7775,419,1,43,3,NA,NA,982,0,2,0,0,0,0,1,0,0,0,0,0
7782,11469,1,70,4,NA,NA,1631,0,6,0,0,0,0,0,0,0,0,1,0
7787,877,1,21,29,NA,NA,1751,0,3,0,1,0,0,0,0,0,0,0,0
7792,2838,1,85,19,NA,NA,1698,0,4,0,0,0,0,0,0,0,0,0,1
7829,9213,1,32,22,NA,NA,2922,0,2,0,0,0,0,1,0,0,0,0,0
7845,8301,1,50,18,NA,NA,1275,0,8,0,0,0,1,0,0,0,0,0,0
7864,3159,1,52,17,NA,NA,1293,0,9,1,0,0,0,0,0,0,0,0,0
7887,480,1,19,19,NA,NA,687,0,8,0,0,0,1,0,0,0,0,0,0
7912,195,1,35,20,NA,NA,668,0,4,0,0,0,0,0,0,0,0,0,1
7963,9356,1,40,20,NA,NA,1345,0,3,0,1,0,0,0,0,0,0,0,0
7989,752,1,50,15,NA,NA,496,0,8,0,0,0,1,0,0,0,0,0,0
8006,9729,1,25,20,NA,NA,1300,0,8,0,0,0,1,0,0,0,0,0,0
8026,1449,1,25,30,NA,NA,1052,0,5,0,0,0,0,0,0,0,1,0,0
8029,8015,1,50,21,NA,NA,1531,0,3,0,1,0,0,0,0,0,0,0,0
8039,4910,1,47,30,NA,NA,2821,0,8,0,0,0,1,0,0,0,0,0,0
8047,706,1,22,28,NA,NA,2138,0,1,0,0,1,0,0,0,0,0,0,0
8083,4653,1,39,18,NA,NA,1559,0,3,0,1,0,0,0,0,0,0,0,0
8091,7856,1,23,6,NA,NA,1236,0,1,0,0,1,0,0,0,0,0,0,0
8107,123,1,29,8,NA,NA,2042,0,6,0,0,0,0,0,0,0,0,1,0
8127,6453,1,60,28,NA,NA,1695,0,4,0,0,0,0,0,0,0,0,0,1
8145,5648,1,38,18,NA,NA,1667,0,1,0,0,1,0,0,0,0,0,0,0
8170,6349,1,35,25,NA,NA,2709,0,9,1,0,0,0,0,0,0,0,0,0
8231,1505,1,24,3,NA,NA,2023,0,5,0,0,0,0,0,0,0,1,0,0
8233,799,1,73,30,NA,NA,1957,0,1,0,0,1,0,0,0,0,0,0,0
8279,6316,1,50,16,NA,NA,519,0,8,0,0,0,1,0,0,0,0,0,0
8306,4878,1,43,20,NA,NA,1407,0,2,0,0,0,0,1,0,0,0,0,0
8335,7282,1,34,6,NA,NA,1968,0,6,0,0,0,0,0,0,0,0,1,0
8372,7610,1,41,3,NA,NA,1457,0,9,1,0,0,0,0,0,0,0,0,0
