SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_1,adm2_5,adm2_2,adm2_8,adm2_4,adm2_7,adm2_6,adm2_3
3453,6409,1,20,17,NA,NA,1040,0,3,0,0,0,0,0,0,0,1
3457,4633,1,38,25,NA,NA,1459,0,4,0,0,0,0,1,0,0,0
3462,4077,1,32,21,NA,NA,4354,0,8,0,0,0,1,0,0,0,0
3716,3435,1,42,17,NA,NA,1974,0,1,1,0,0,0,0,0,0,0
3757,6700,1,26,4,NA,NA,2044,0,5,0,1,0,0,0,0,0,0
3760,2761,1,45,20,NA,NA,952,0,2,0,0,1,0,0,0,0,0
3795,7168,1,65,17,NA,NA,3025,0,7,0,0,0,0,0,1,0,0
3901,794,1,32,23,NA,NA,2019,0,2,0,0,1,0,0,0,0,0
3940,11140,1,50,22,NA,NA,2335,0,2,0,0,1,0,0,0,0,0
4000,6705,1,35,25,NA,NA,1790,0,7,0,0,0,0,0,1,0,0
4005,2129,1,38,22,NA,NA,2237,0,2,0,0,1,0,0,0,0,0
4046,6795,1,46,20,NA,NA,1951,0,2,0,0,1,0,0,0,0,0
4048,2901,1,35,6,NA,NA,1724,0,2,0,0,1,0,0,0,0,0
4150,3436,1,20,19,NA,NA,2155,0,7,0,0,0,0,0,1,0,0
4157,3000,1,38,17,NA,NA,2669,0,7,0,0,0,0,0,1,0,0
4218,4539,1,60,16,NA,NA,1656,0,6,0,0,0,0,0,0,1,0
4241,6509,1,38,29,NA,NA,2817,0,5,0,1,0,0,0,0,0,0
4274,7910,1,40,15,NA,NA,2296,0,6,0,0,0,0,0,0,1,0
4351,3866,1,40,17,NA,NA,1304,0,3,0,0,0,0,0,0,0,1
4363,11510,1,47,21,NA,NA,1920,0,8,0,0,0,1,0,0,0,0
4429,2040,1,58,22,NA,NA,2781,0,4,0,0,0,0,1,0,0,0
4434,11491,1,42,19,NA,NA,2367,0,4,0,0,0,0,1,0,0,0
4468,11514,1,35,15,NA,NA,1841,0,6,0,0,0,0,0,0,1,0
4483,6881,1,72,17,NA,NA,2450,0,7,0,0,0,0,0,1,0,0
4543,9135,1,47,22,NA,NA,1324,0,8,0,0,0,1,0,0,0,0
4599,665,1,42,12,NA,NA,1911,0,6,0,0,0,0,0,0,1,0
4625,1916,1,35,14,NA,NA,1687,0,4,0,0,0,0,1,0,0,0
4632,769,1,20,27,NA,NA,1432,0,5,0,1,0,0,0,0,0,0
4697,7822,1,60,9,NA,NA,1758,0,7,0,0,0,0,0,1,0,0
4822,2387,1,43,19,NA,NA,1771,0,5,0,1,0,0,0,0,0,0
4834,8471,1,42,22,NA,NA,1960,0,7,0,0,0,0,0,1,0,0
4848,3380,1,31,27,NA,NA,2177,0,6,0,0,0,0,0,0,1,0
4926,1263,1,35,13,NA,NA,1483,0,3,0,0,0,0,0,0,0,1
4933,957,1,30,16,NA,NA,2557,0,6,0,0,0,0,0,0,1,0
4992,7658,1,40,22,NA,NA,1380,0,7,0,0,0,0,0,1,0,0
5136,1063,1,55,24,NA,NA,1226,0,8,0,0,0,1,0,0,0,0
5154,7529,1,25,28,NA,NA,1406,0,6,0,0,0,0,0,0,1,0
5156,3061,1,30,22,NA,NA,2217,0,4,0,0,0,0,1,0,0,0
5163,9189,1,55,29,NA,NA,1520,0,3,0,0,0,0,0,0,0,1
5251,6605,1,36,8,NA,NA,1695,0,2,0,0,1,0,0,0,0,0
5304,402,1,30,17,NA,NA,2191,0,1,1,0,0,0,0,0,0,0
5364,1719,1,32,16,NA,NA,2765,0,6,0,0,0,0,0,0,1,0
5380,9437,1,63,19,NA,NA,2298,0,8,0,0,0,1,0,0,0,0
5381,2886,1,50,21,NA,NA,2179,0,1,1,0,0,0,0,0,0,0
5400,28,1,50,16,NA,NA,1678,0,1,1,0,0,0,0,0,0,0
5426,10783,1,40,15,NA,NA,1242,0,3,0,0,0,0,0,0,0,1
5432,6664,1,20,10,NA,NA,2363,0,7,0,0,0,0,0,1,0,0
5433,1465,1,25,13,NA,NA,2209,0,1,1,0,0,0,0,0,0,0
5434,3777,1,30,15,NA,NA,1342,0,4,0,0,0,0,1,0,0,0
5492,6409,1,60,17,NA,NA,1214,0,3,0,0,0,0,0,0,0,1
5493,9589,1,41,16,NA,NA,2080,0,6,0,0,0,0,0,0,1,0
5515,492,1,45,30,NA,NA,1607,0,3,0,0,0,0,0,0,0,1
